,accuracy,precision,recall sensitivity,specificity,f1,roc auc,false positive rate
Logistic Regression EEG Features,0.8355978260869565,0.7030567685589519,0.7523364485981309,0.8697318007662835,0.7268623024830699,0.8757564364235327,0.13026819923371646
Random Forest EEG Features,0.7241847826086957,0.5145888594164456,0.9065420560747663,0.6494252873563219,0.6565143824027073,0.9283757653883338,0.3505747126436782
SVM RBF EEG Features,0.8614130434782609,0.7434782608695653,0.7990654205607477,0.8869731800766284,0.7702702702702703,0.9042682708489993,0.11302681992337164
MLP EEG Features,0.8097826086956522,0.6075581395348837,0.9766355140186916,0.7413793103448276,0.7491039426523297,0.9738156622623269,0.25862068965517243
Static GCN,0.7717391304347826,0.5602094240837696,1.0,0.6781609195402298,0.7181208053691275,0.9816217280767716,0.3218390804597701
Dynamic GCN,0.8478260869565217,0.659375,0.985981308411215,0.7911877394636015,0.7902621722846442,0.9818097181938625,0.20881226053639848
Dynamic GAT,0.8288043478260869,0.6317365269461078,0.985981308411215,0.764367816091954,0.7700729927007299,0.9852651555842017,0.23563218390804597
Patient Calibrated GAT alpha 0.75,0.7975543478260869,0.590027700831025,0.9953271028037384,0.7164750957854407,0.7408695652173913,0.9830092741791099,0.2835249042145594
Hybrid DPC GAT alpha 0.5,0.8084239130434783,0.6051873198847262,0.9813084112149533,0.7375478927203065,0.7486631016042781,0.9709331471335984,0.2624521072796935
Validation Tuned Graph Ensemble,0.8627717391304348,0.6840390879478827,0.9813084112149533,0.814176245210728,0.8061420345489443,0.9835821964407204,0.18582375478927204
